country	country_code	rating_body	rating_id	rating_label
Italy	IT	IT-MBACT	68.1.2	VM6
Italy	IT	IT-MBACT	68.1.3	VM14
Italy	IT	IT-MBACT	68.1.4	VM18
Italy	IT	IT-AGCOM	69.1.1	T
Italy	IT	IT-AGCOM	69.1.2	VM6
Italy	IT	IT-AGCOM	69.1.3	VM14
Italy	IT	IT-AGCOM	69.1.4	VM18
Japan	JP	Eirin	70.1.1	"G
映倫"
Japan	JP	Eirin	70.1.2	PG12
Japan	JP	Eirin	70.1.3	R15+
Japan	JP	Eirin	70.1.4	R18+
Japan	JP	Eirin		
Japan	JP	Eirin		
Japan	JP	Eirin		
RUSSIA		RU-MKRF	71.1.1	0+
RUSSIA		RU-MKRF	71.1.2	6+
RUSSIA		RU-MKRF	71.1.3	12+
RUSSIA		RU-MKRF	71.1.4	16+
RUSSIA		RU-MKRF	71.1.5	18+
